MLS,Property,Status,Type,City,Sold Price,Sold Date,List Price,List Date,Bed,Bath,Kitchen,Tax,year,Floor,Lot,Levels,Parking,Photos,Address,GPS,URL,Agency,Description,Feature,Influence,Amenities
R2717349,32659 GEORGE FERGUSON WAY,Sold,Townhouse,Abbotsford,"$520,000",09/12/2022,"$538,000",08/17/2022,3,3,1,"$1,933 in 2022",1986,"2,510",,-,"Add. Parking Avail.,Garage; Single,Visitor Parking",37,"32659 George Ferguson Way #22, Abbotsford, BC V2T 4E4, Canada","49.05548, -122.31921",https://www.bccondosandhomes.com/listing/r2717349-22-32659-george-ferguson-way,Sutton Group-West Coast Realty (Abbotsford),"Canterbury Gate! Centrally located rancher townhouse with full, finished basement. Very rare, large, 2 level end unit. The 2,510 Sqft unit feat. 3 beds & 3 baths! Bright end unit w/lovely walkout backyard. Master bed & laundry conveniently on main floor. Spacious living rm w/ big windows & cozy gas FP. Big bsmt w/tons of storage, extra bedroom & bathroom-which has a space to add a shower. Walkout the main floor to a sunny covered patio, for year round use & private yard. Newer tankless hot water on demand. Furnace just replaced a few years ago. Single enclosed garage w/extra parking in the driveway & visitor parking. All located in a quiet spot in this 45+ complex. No rentals & no pets. This gated community is walking distance to Superstore, malls, doctors, banks, recreation & restaurants!",ClthWsh/Dryr/Frdg/Stve/DW,Adult Oriented Gated Complex, In Suite Laundry
R2714506,825 ALEXANDER BAY,Sold,Townhouse,Port Moody,"$655,000",09/07/2022,"$699,000",08/03/2022,3,1,1,"$2,325 in 2021",1978,"1,037",,-,Open,29,"825 Alexander Bay, Port Moody, BC V3H 3R7, Canada","49.28782, -122.8293",https://www.bccondosandhomes.com/listing/r2714506-825-alexander-bay,RE/MAX LIFESTYLES REALTY,"Welcome to Woodside Village! Where else in Port Moody can you get a 3 bedroom, 1 bathroom home for under $700K? It's the perfect & affordable family starter home in this desirable area! Featuring a renovated bathroom, crown molding & refinished h/w maple flooring, large laundry room w/storage & potential for a powder room on the main. Backing on to peaceful green space & tranquil Noon Creek, it's the perfect place to enjoy your HUGE PRIVATE fully fenced patio area. 2 parking spaces, newer play ground, new gutters and down spouts this year. Prime location close to all levels of schools (Mountain Meadow, Eagle Ridge, Scott Creek etc), Inlet Skytrain, Brewery Row, New Port Village, Suter Brook, parks, beaches & more! Don't miss the opportunity put your stamp on this home & make it your own!",ClthWsh/Dryr/Frdg/Stve/DW,Central Location Recreation Nearby Shopping Nearby, Playground
R2618438,8731 FINN ROAD,Sold,House,Richmond,"$13,580,000",08/12/2022,"$15,188,000",09/16/2021,7,8,3,"$20,531 in 2020",2014,"14,432",653400 SqFt.,-,Other,40,"8731 Finn Rd, Richmond, BC V7A 5C5, Canada","49.11993, -123.13242",https://www.bccondosandhomes.com/listing/r2618438-8731-finn-road,Sutton Group - 1st West Realty,"15 Acres park-like huge lot with 14432 sqft house,including private tennis courts, swimming pool and fabulous garden! Custom design by Loy Leyland, this exceptional and extraordinary dream house offers 7 spacious bright ensuite. It features a separate entry with kitchen and two bedrooms. Modern amenities including indoor pool (36'x18'), swirl hot tub, steam room, sauna, gym, wine cellar, wet bar. Private professional landscaped beautiful garden with waterfalls, tennis court, organic vegetable & fruits garden, 3 garages & plenty of visitor parking spaces. A pleasure to show!",Air Conditioning ClthWsh/Dryr/Frdg/Stve/DW Garage Door Opener Heat Recov. Vent. Hot Water Dispenser Microwave Oven - Built In Security System Vacuum - Built In Wet Bar,Marina Nearby Private Yard Shopping Nearby Treed, Air Cond./Central Exercise Centre Garden Guest Suite Pool; Indoor Swirlpool/Hot Tub
R2717010,6407 NEVILLE STREET,Sold,House,Burnaby,"$2,288,000",08/29/2022,"$2,288,000",08/16/2022,6,6,1,"$6,052 in 2021",1994,"3,567",5950 SqFt.,-,"Garage; Double,Open",29,6407 Neville Street,,https://www.bccondosandhomes.com/listing/r2717010-6407-neville-street,Royal Pacific Realty Corp.,"A well kept 3 story house facing south in prime South Slope, Burnaby. Located on top of the street and have a beautiful Fraser River, mountains and city views. The seller updated 6 bedrooms, 6 bathrooms, living room, family room and kitchen in 2014. There are 4 large and bright rooms in upstairs, one office room on main floor and 2 bedrooms in basement with separate entrance, which are rented for years. A good mortgage helper. Near sky train station, park & bus stops, schools. School Catchment: Clinton Elementary and Burnaby South Secondary. Do not miss.",Compactor - Garbage Dishwasher Drapes/Window Coverings,-,-
R2710480,202 - 1930 MARINE DRIVE,Sold,Apartment,West Vancouver,"$625,000",08/19/2022,"$649,000",07/19/2022,1,1,1,"$1,349 in 2021",1964,582,,-,"Add. Parking Avail.,Visitor Parking",21,"1930 Marine Dr #202, West Vancouver, BC V7V 1J8, Canada","49.32863, -123.16477",https://www.bccondosandhomes.com/listing/r2710480-202-1930-marine-drive,Royal LePage Sussex,"Gorgeous south-facing corner suite in beautiful Park Marine. Extensively remodeled bright and open with partial ocean view. Chefs kitchen with built in desk/flex space quartz stone countertop, solid wood cabinets with soft close hinges and stainless steel appliances. Elegant open living space, with oak hardwood floors. Double glazed windows, Custom solar blinds, and dimmed lighting throughout. New spa-like bathroom fitted with top quality Kohler Club, vanity faucets, Italian tiles and Nuheat radiant floors. Amazing location with a 360 degree rooftop garden. Close to AMBLESIDE and DUNDARAVE beaches, Restaurants, SeaWall, Park Royal, Rec Scooter wheelchair accessible unit on main floor. Centre, Library, Shopping, Minutes to Downtown, A true Oasis awaits you! ",Dishwasher Drapes/Window Coverings Intercom Microwave Oven - Built In Range Top Refrigerator Smoke Alarm,Central Location Golf Course Nearby Marina Nearby Recreation Nearby Shopping Nearby Ski Hill Nearby, Elevator Garden Shared Laundry Storage Wheelchair Access
R2721264,403 - 1990 COQUITLAM AVENUE,Sold,Apartment,Port Coquitlam,"$530,000",09/13/2022,"$499,000",09/06/2022,3,2,1,"$1,765 in 2021",1993,"1,028",,-,"Garage; Single,Garage; Underground",26,"1990 Coquitlam Ave #403, Port Coquitlam, BC V3B 7R2, Canada","49.26712, -122.76994",https://www.bccondosandhomes.com/listing/r2721264-403-1990-coquitlam-avenue,Nu Stream Realty Inc.,"OPEN HOUSE: SUN, SEP 11, 02:00-04:00 PM. BLOWOUT SALE: 403 [PH3] is a 3 bedroom, 2 full bath corner 1,028 SQFT PENTHOUSE unit comes with TWO parkings and 1 locker. Location, Location, Location! Centrally located - close to almost everything - schools, shopping, entertainment and transit. 5-10 minutes drive to Coquitlam Centre, Costco, Walmart, Skytrain, WestCoast Express, Douglas College, ... Quiet street with ample parking. Beautifully renovated. Bright unit with a functional plan, open kitchen, good size living room and a private balcony for you to enjoy with family and friends. Gas Fireplace is included in low Maintenance Fee. Recent Building Upgrades: New Roof $35,500 & Sprinklers upgrade $11,500 in 2021. RENTALS ALLOWED. Call for private viewing.",ClthWsh/Dryr/Frdg/Stve/DW,Central Location Private Yard Recreation Nearby Shopping Nearby, Elevator Garden In Suite Laundry Storage
R2706476,102 - 815 FOURTH AVENUE,Sold,Apartment,New Westminster,"$445,000",08/08/2022,"$459,900",07/05/2022,2,2,1,"$1,432 in 2022",1975,878,,-,Carport; Multiple,26,"815 4th Ave, New Westminster, BC V3M 1S8, Canada","49.20824, -122.92031",https://www.bccondosandhomes.com/listing/r2706476-102-815-fourth-avenue,RE/MAX All Points Realty,"A lovely 2 bed, 2 bath (one full and one half bath) corner ground floor unit in Uptown New West! New kitchen and newer engineered hardwood floors throughout. There's shared laundry on the same floor as the suite. This smaller 33 unit building has done many upgrades lately: new roof, balconies, railings, sliding doors, enter phone, and hallways have new carpets and paint. Enjoy the swimming pool and walkable location close to bus stops on Eighth Street. It comes with one parking ($10 monthly parking fee) & one locker.",Dishwasher Refrigerator Stove,Central Location Recreation Nearby Shopping Nearby, Elevator Pool; Indoor Shared Laundry Storage
R2719377,6300 BIRCH STREET,Sold,Townhouse,Richmond,"$1,373,000",09/01/2022,"$1,388,800",08/29/2022,3,3,1,"$3,608 in 2021",2004,"1,783",,-,"Garage; Double,Visitor Parking",26,"6300 Birch St, Richmond, BC V6Y 4K3, Canada","49.16893, -123.11627",https://www.bccondosandhomes.com/listing/r2719377-51-6300-birch-street,RE/MAX Crest Realty,"Springbrook Estate by CRESSEY. 2 level duplex end unit townhouse. Open floor plan with high ceilings and generous room sizes Over 1,783 sq.ft. This unit has 3 bedrooms + den + 2.5 baths. Large master bedroom with extra large walk-in closet, ensuite has soaker tub with separate shower stall. Water tank 2 yrs old with 10 yr warranty. Washer, dryer and fridge, 3 yrs. Dishwasher, 2 yrs. Kitchen faucet, smoke detectors are under 2 yrs.Gas fireplaces. Quiet end unit with patio and garden. Double Side X Side garage. Minutes away from schools, transportation, Richmond Centre, Garden City Park, Public Market, Walmart Plaza and skytrain. Anderson Elementary and MacNeil Secondary. Viewings by appointment only.",-,Gated Complex Private Setting Recreation Nearby,-
R2705181,903 HENLEY STREET,Sold,House,New Westminster,"$1,700,000",08/03/2022,"$1,795,000",06/29/2022,5,3,1,"$5,469 in 2021",1901,"2,958",4383 SqFt.,-,Garage; Single,40,"903 Henley St, New Westminster, BC V3M 4B9, Canada","49.21327, -122.9342",https://www.bccondosandhomes.com/listing/r2705181-903-henley-street,RE/MAX All Points Realty,"Beautiful 5 Bedroom Craftsman home in Moody Park! This home has been renovated thru-out & boasts old world charm with modern finishings. Fir floors, coffered ceilings, stained glass & built in window seats are some of the stunning details preserved in this lovingly cared for home. Completely renovated kitchen feats plenty of white shaker cabinets, SS appliances & white quartz counters w/ breakfast bar + adjacent eating area. Large family room sits at the back of the house overlooking the treed yard & bbq patio. Upstairs is the Main loft style bedroom with walk in closet & access to huge attic storage. Downstairs is 3 bedrooms + 2 bathrooms, large recreation+ family room & laundry. Downstairs has separate entry & suite potential! Fantastic neighbourhood close to all shops, schools+ transit!",ClthWsh/Dryr/Frdg/Stve/DW Storage Shed,-, Garden In Suite Laundry Storage
R2708781,213 - 12083 92A AVENUE,Sold,Apartment,Surrey,"$560,000",08/16/2022,"$599,999",07/11/2022,2,2,1,"$1,793 in 2022",2003,991,,-,Garage Underbuilding,37,"12083 92a Ave #213, Surrey, BC V3V 8C8, Canada","49.1715, -122.88834",https://www.bccondosandhomes.com/listing/r2708781-213-12083-92a-avenue,YPA Your Property Agent,"Best location in a great building! This ground floor 2 bedroom 2 bathroom features a bright and spacious maple kitchen with lots of cabinet and counter space! 9' ceilings opening up the living room with a gas fireplace. Partly covered patio 10'6 x 13' plus 11x14 grass area which is fully fenced with a gate for visitors. 2 parking spots available as well as bike storage. Centrally located close to transit, schools and shops. Maintenance Fee Includes Gas, Hot Water, Gym. Amenities include Rec.room, Guest room, Alarmed Storage, Underground parking. Ample parking for visitors on both sides of building. A MUST SEE!!! It's won't last long!!!",ClthWsh/Dryr/Frdg/Stve/DW Microwave,Central Location Recreation Nearby, Bike Room Club House Elevator Exercise Centre Garden Guest Suite In Suite Laundry Storage
R2719230,601 - 5885 OLIVE AVENUE,Sold,Apartment,Burnaby,"$710,000",09/06/2022,"$738,000",08/26/2022,2,2,1,"$1,956 in 2021",1990,"1,188",,-,Garage; Underground,23,"5885 Olive Ave #601, Burnaby, BC V5H 4N8, Canada","49.23153, -123.01044",https://www.bccondosandhomes.com/listing/r2719230-601-5885-olive-avenue,Nu Stream Realty Inc.,"The Metropolitan, best value in Metrotown. Spotless, very bright and spacious 9 feet celling,1,188 sq ft apartment, 2 bedrooms and 2 full baths plus enclosed wok kitchen with huge windows and breakfast nook, huge ensuite master bedroom. Building is well maintained with water pipes, windows and boilers recently replaced, and offers great amenities such as swimming pool, hot tub, sauna and gym. All within walking distance of Patterson Skytrain Station on the Expo Line, and a short distance from Metrotown, Crystal Mall and Central Park. One parking, one storage, two pets allowed with restrictions, rentals allowed with restrictions.A perfect place to call home!",ClthWsh/Dryr/Frdg/Stve/DW,Central Location Recreation Nearby Shopping Nearby, Elevator Garden In Suite Laundry Pool; Indoor Storage
R2722214,2060 PURCELL WAY,Sold,Apartment,North Vancouver,"$560,000",09/12/2022,"$585,000",09/09/2022,2,1,1,"$1,436 in 2022",1977,792,,-,Open,28,"2060 Purcell Way, North Vancouver, BC V7J 3K3, Canada","49.31873, -123.02098",https://www.bccondosandhomes.com/listing/r2722214-2060-purcell-way,RE/MAX Rossetti Realty,"Tastefully renovated 2 bdrm home in popular ‘Purcell Woods’. This ground level suite has been extensively updated & is ready for the next owner to move in & enjoy! Situated in a quiet spot in the complex, this corner home offers a peaceful treed outlook & nearly 800 sq/ft w/ a practical traditional plan that includes a spacious open living/dining rm w/ sliders to a 170 sq/ft patio/garden. The kitchen was recently renovated w new cabinets, counters + backsplash, & w/ S/S appliances. The 2 bdrms are both ample sized including the primary bdrm which features a updated semi-ensuite & WIC. Completing the home is terrific in-suite storage from the 13’8 x 4’10 utility/storage room. In-suite laundry, 1 parking, & 1 pet allowed. Great location with Cap U at your doorstep and close to all amenities.",ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings,Central Location Golf Course Nearby Marina Nearby Recreation Nearby Shopping Nearby Ski Hill Nearby, In Suite Laundry Playground Pool; Outdoor Sauna/Steam Room
R2714654,4321 WOLF WAY,Sold,Townhouse,Tsawwassen,"$770,000",08/28/2022,"$775,000",08/05/2022,3,3,1,,2022,"1,288",,-,Grge/Double Tandem,32,"4321 Wolf Wy #4321b, British Columbia V4M 4G4, Canada","49.04632, -123.10177",https://www.bccondosandhomes.com/listing/r2714654-4321b-4321-wolf-way,Royal LePage - Wolstencroft,"GST has already been paid. Boardwalk: a new master-planned community by Aquilini. Beautiful 3-bedroom townhome facing future sports field with peek-a-boo water view. Open concept kitchen with gas range and stainless steel appliances. Private deck off the kitchen with natural gas connection, overlooking the courtyard. Upgraded with beautiful laminate flooring throughout the whole house. Double tandem garage with its driveway for another small vehicle. Spectacular 22,000 sqft Beach House Amenity with outdoor pool. Steps to recently completed 1-acre Salmon Park and future TFN Sports Field. Remarkably modern but warm, and a perfect location with everything within reach.",ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings Garage Door Opener,Recreation Nearby Shopping Nearby Waterfront Property, Club House Exercise Centre Playground Pool; Outdoor
R2709547,2905 NORMAN AVENUE,Sold,Townhouse,Coquitlam,"$625,000",08/30/2022,"$819,900",07/13/2022,3,1,1,"$2,717 in 2021",1976,"1,466",,-,Open,26,"2905 Norman Ave, Coquitlam, BC V3C 4H9, Canada","49.2711, -122.80046",https://www.bccondosandhomes.com/listing/r2709547-38-2905-norman-avenue,RE/MAX All Points Realty,"Great townhome complex. End unit located close to west coast express and all levels of shopping and transportation. Fenced yard with private gate from street parking to your backyard. Newer vinyl windows, 2016, and screens. Furnace and hot water tank done in 2016. The home is in original condition cosmetically so you can customize yourself. Convenient laundry sink in basement. Sliding door in eating area to private backyard and patio with shade trees. Three bedrooms up and a basement for hobby or craft room or your imagination. ",ClthWsh/Dryr/Frdg/Stve/DW,Private Yard, In Suite Laundry
R2713849,305 - 2959 GLEN DRIVE,Sold,Apartment,Coquitlam,"$670,000",09/08/2022,"$729,000",08/02/2022,2,2,1,"$2,575 in 2021",2009,889,,-,Garage Underbuilding,32,"2959 Glen Dr, Coquitlam, BC V3B 0B8, Canada","49.28272, -122.79756",https://www.bccondosandhomes.com/listing/r2713849-305-2959-glen-drive,Sutton Group - 1st West Realty,"Welcome home to The Parc! This stunning, bright, CORNER UNIT, features an OPEN CONCEPT living plan with floor to ceiling windows with NEW BLINDS, spacious, MODERN RENOVATED kitchen, includes Caesar stone counters, S/S appliances, new built in microwave over the range and breakfast bar. New fridge, dishwasher, washer and dryer. Large, bright master bedroom with in suite bathroom. Large 2nd bedroom with full bath and deep soaker tub. Enjoy outdoor living and entertaining with friends and family, on large, covered balcony. Great gym, and rare private wine locker room. PRIME LOCATION minutes to Coquitlam Centre, Evergreen Sky train, Lafarge Lake, restaurants, library, top schools, park and transit.",ClthWsh/Dryr/Frdg/Stve/DW Drapes/Window Coverings Microwave,Golf Course Nearby Recreation Nearby Shopping Nearby, Exercise Centre In Suite Laundry Storage
